category,subcategories,description
Flight Disruptions & Delays,Flight Cancellation,"Complaints and inquiries regarding cancelled flights, delays, missed connections, and difficulties with rebooking.  Includes frustration with lack of communication and alternative arrangements."
Flight Disruptions & Delays,Flight Delay,"Complaints and inquiries regarding cancelled flights, delays, missed connections, and difficulties with rebooking.  Includes frustration with lack of communication and alternative arrangements."
Flight Disruptions & Delays,Missed Connection,"Complaints and inquiries regarding cancelled flights, delays, missed connections, and difficulties with rebooking.  Includes frustration with lack of communication and alternative arrangements."
Flight Disruptions & Delays,Rebooking Issues,"Complaints and inquiries regarding cancelled flights, delays, missed connections, and difficulties with rebooking.  Includes frustration with lack of communication and alternative arrangements."
Customer Service,Lack of Communication,"Criticism of customer service experiences, including long wait times, lack of responsiveness, unhelpful or rude representatives, and failure to receive callbacks."
Customer Service,Long Wait Times,"Criticism of customer service experiences, including long wait times, lack of responsiveness, unhelpful or rude representatives, and failure to receive callbacks."
Customer Service,Unhelpful Representatives,"Criticism of customer service experiences, including long wait times, lack of responsiveness, unhelpful or rude representatives, and failure to receive callbacks."
Customer Service,Rude Staff,"Criticism of customer service experiences, including long wait times, lack of responsiveness, unhelpful or rude representatives, and failure to receive callbacks."
Customer Service,No Callbacks,"Criticism of customer service experiences, including long wait times, lack of responsiveness, unhelpful or rude representatives, and failure to receive callbacks."
Baggage Issues,Lost Baggage,"Complaints about lost or delayed baggage, and frustration related to the handling of baggage issues."
Baggage Issues,Delayed Baggage,"Complaints about lost or delayed baggage, and frustration related to the handling of baggage issues."
Inquiries & Assistance Requests,Flight Changes,"Requests for assistance with flight changes, itinerary planning, accommodation, and inquiries about compensation for disruptions."
Inquiries & Assistance Requests,Itinerary Help,"Requests for assistance with flight changes, itinerary planning, accommodation, and inquiries about compensation for disruptions."
Inquiries & Assistance Requests,Accommodation Requests,"Requests for assistance with flight changes, itinerary planning, accommodation, and inquiries about compensation for disruptions."
Inquiries & Assistance Requests,Compensation Inquiries,"Requests for assistance with flight changes, itinerary planning, accommodation, and inquiries about compensation for disruptions."
Positive Feedback,Excellent Cabin Crew,"Positive comments about cabin crew, landing experiences, new planes, and overall positive experiences with American Airlines."
Positive Feedback,Good Landing,"Positive comments about cabin crew, landing experiences, new planes, and overall positive experiences with American Airlines."
Positive Feedback,New Planes,"Positive comments about cabin crew, landing experiences, new planes, and overall positive experiences with American Airlines."
Positive Feedback,Positive Experience,"Positive comments about cabin crew, landing experiences, new planes, and overall positive experiences with American Airlines."
Technical/System Issues,Phone System Issues,"Issues related to technical problems with phone systems, websites, or apps."
Technical/System Issues,Website/App Problems,"Issues related to technical problems with phone systems, websites, or apps."
Amenities/Comfort,Food/Catering,"Comments on food, seating, and availability of amenities within the airport or on the plane."
Amenities/Comfort,Seating,"Comments on food, seating, and availability of amenities within the airport or on the plane."
Amenities/Comfort,Airport Amenities,"Comments on food, seating, and availability of amenities within the airport or on the plane."
Priority/Loyalty Program,Priority Seating,Discussions related to priority seating and benefits for elite status members.
Priority/Loyalty Program,Elite Status,Discussions related to priority seating and benefits for elite status members.
